mass,up_unc,down_unc
1.7952,0.2918,0.1471
1.8107,0.3032,0.1358
1.8264,0.3237,0.1194
1.8422,0.3942,0.0936
1.8581,0.4312,0.0973
1.8742,0.4355,0.0976
1.8904,0.4391,0.0979
1.9068,0.4434,0.0982
1.9233,0.447,0.0985
1.9399,0.4506,0.0988
1.9567,0.4541,0.0991
1.9736,0.4555,0.0992
1.9907,0.4566,0.0993
2.0079,0.4592,0.0995
2.0253,0.4634,0.0999
2.0428,0.4672,0.1002
2.0604,0.4709,0.1005
2.0783,0.4749,0.1009
2.0962,0.4785,0.1012
2.1144,0.4825,0.1016
2.1327,0.4863,0.1019
2.1511,0.4901,0.1023
2.1697,0.4939,0.1026
2.1885,0.4978,0.103
2.2074,0.5019,0.1034
2.2265,0.5059,0.1038
2.2458,0.5096,0.1042
2.2652,0.5128,0.1045
2.2848,0.5162,0.1048
2.3045,0.5197,0.1052
2.3245,0.523,0.1055
2.3446,0.5242,0.1056
2.3649,0.525,0.1057
2.3853,0.5258,0.1058
2.406,0.5283,0.106
2.4268,0.5321,0.1064
2.4478,0.5356,0.1068
2.4689,0.5396,0.1072
2.4903,0.5432,0.1076
2.5118,0.547,0.108
2.5336,0.5509,0.1084
2.5555,0.5541,0.1088
2.5776,0.5579,0.1092
2.5999,0.5618,0.1097
2.6224,0.5656,0.1101
2.645,0.5691,0.1105
2.6679,0.5727,0.1109
2.691,0.5763,0.1113
2.7143,0.5791,0.1116
2.7377,0.5802,0.1117
2.7614,0.5824,0.112
2.7853,0.5854,0.1123
2.8094,0.586,0.1124
2.8337,0.5866,0.1125
2.8582,0.5885,0.1127
2.8829,0.5917,0.1131
2.9079,0.5948,0.1134
2.933,0.5983,0.1139
2.9584,0.6014,0.1142
2.984,0.6047,0.1146
3.0098,0.6075,0.1149
3.0358,0.6101,0.1153
3.0621,0.6131,0.1156
3.0886,0.6164,0.116
3.1153,0.6192,0.1164
3.1422,0.6216,0.1167
3.1694,0.6246,0.117
3.1968,0.6268,0.1173
3.2245,0.6273,0.1174
3.2524,0.6283,0.1175
3.2805,0.6301,0.1177
3.3089,0.6317,0.1179
3.3375,0.6337,0.1182
3.3664,0.6357,0.1184
3.3955,0.6379,0.1187
3.4249,0.6397,0.1189
3.4545,0.6417,0.1192
