mass charge yield
12.0 0.093 0.1651276236305237
12.0 0.095 0.15862756767272948
12.0 0.1 0.18801921844482425
12.0 0.13 0.26650614185333255
12.0 0.17 0.35046880750656134
12.0 0.2 0.7761627197265627
12.0 0.3 1.637691249847412
15.0 0.01 0.016091275024414063
15.0 0.02 0.052435729980468755
15.0 0.03 0.06310255737304687
15.0 0.04 0.04943765258789063
15.0 0.05 0.047695145606994636
15.0 0.06 0.06867919006347656
15.0 0.07 0.07768112373352051
15.0 0.08 0.09286257934570313
15.0 0.09 0.13493495235443115
15.0 0.093 0.14176129487228395
15.0 0.095 0.15035074920654298
15.0 0.1 0.16384910583496096
15.0 0.13 0.26336691837310794
15.0 0.15 0.3384489011764526
15.0 0.17 0.36480373954772954
15.0 0.2 0.48363883972167976
15.0 0.3 0.9673820686340332
17.0 0.01 0.0143608154296875
17.0 0.02 0.040915228271484375
17.0 0.03 0.05164863739013672
17.0 0.04 0.04530325927734375
17.0 0.05 0.04846301555633546
17.0 0.06 0.056015222167968746
17.0 0.07 0.06999314870834351
17.0 0.08 0.0946841064453125
17.0 0.09 0.1219008996963501
17.0 0.093 0.11471659073066712
17.0 0.095 0.13351850657463074
17.0 0.1 0.1887498474121094
17.0 0.13 0.27158286590576175
17.0 0.15 0.37881520271301267
17.0 0.17 0.37594700336456305
17.0 0.2 0.5305369567871094
17.0 0.3 0.4592132806777954
20.0 0.01 0.01455637664794922
20.0 0.02 0.04020114440917969
20.0 0.03 0.045112294006347656
20.0 0.04 0.048584985351562505
20.0 0.05 0.048796973228454596
20.0 0.06 0.0581175796508789
20.0 0.07 0.07556120605468751
20.0 0.08 0.0986991943359375
20.0 0.09 0.11710300369262695
20.0 0.093 0.12294759840202332
20.0 0.095 0.12829213218688965
20.0 0.1 0.15666187286376956
20.0 0.13 0.244410022354126
20.0 0.15 0.24947406291961668
20.0 0.17 0.4736926454544068
20.0 0.2 0.5206405639648438
20.0 0.3 0.6509492969512939
25.0 0.01 0.012164674377441407
25.0 0.02 0.03396217651367188
25.0 0.03 0.03286325225830078
25.0 0.04 0.033683901977539066
25.0 0.05 0.03751747131347657
25.0 0.06 0.04918588027954102
25.0 0.07 0.06255687103271486
25.0 0.08 0.07740503540039063
25.0 0.09 0.09977912807464599
25.0 0.093 0.11041702542972565
25.0 0.095 0.11319765064716339
25.0 0.1 0.11202062606811526
25.0 0.13 0.22720041294097904
25.0 0.15 0.27215598106384276
25.0 0.17 0.42086465616226204
25.0 0.2 0.34047065734863285
25.0 0.3 2.6213291358947752
27.0 0.01 0.01126139602661133
27.0 0.02 0.030000796508789063
27.0 0.03 0.03130159378051758
27.0 0.04 0.02677682800292969
27.0 0.05 0.030974521636962897
27.0 0.06 0.037558688735961916
27.0 0.07 0.05218693275451661
27.0 0.08 0.06955465087890625
27.0 0.09 0.08274621334075927
27.0 0.093 0.09023465895652771
27.0 0.095 0.08826988551616669
27.0 0.1 0.12610805511474613
27.0 0.13 0.2057839674949646
27.0 0.15 0.22016180992126463
27.0 0.17 0.35189622898101813
27.0 0.2 0.2957016754150391
27.0 0.3 0.9784683036804199
30.0 0.001 0.0
30.0 0.003 0.00013007718086242677
30.0 0.004 0.0005617373046874999
30.0 0.005 0.001600414276123047
30.0 0.006 0.0031222282104492187
30.0 0.007 0.004553254867553712
30.0 0.008 0.008061950195312499
30.0 0.009 0.008530914413452148
30.0 0.01 0.011150904083251954
30.0 0.02 0.028085205078125
30.0 0.03 0.033449905014038085
30.0 0.04 0.02973604736328125
30.0 0.05 0.04130010128021241
30.0 0.06 0.03717014350891113
30.0 0.07 0.060708894157409675
30.0 0.08 0.07929324951171875
30.0 0.09 0.10035551891326903
30.0 0.1 0.12389570236206057
30.0 0.13 0.1744855664253235
30.0 0.15 0.23230326890945432
30.0 0.17 0.2983670555114747
30.0 0.2 0.4955828094482423
30.0 0.3 1.1151189136505126
33.0 0.01 0.008122101593017579
33.0 0.02 0.018599923706054688
33.0 0.03 0.0156287504196167
33.0 0.04 0.018824893188476563
33.0 0.05 0.026043667793273932
33.0 0.06 0.034029457855224605
33.0 0.07 0.04537194499969483
33.0 0.08 0.061739129638671876
33.0 0.09 0.07188885955810546
33.0 0.093 0.08010042356586457
33.0 0.095 0.1567795090198517
33.0 0.1 0.09456285476684573
33.0 0.13 0.14345744905471802
33.0 0.15 0.23433528900146483
33.0 0.17 0.1616555439949036
33.0 0.2 0.2855416870117188
33.0 0.3 1.0424160289764404
35.0 0.01 0.006598580932617188
35.0 0.02 0.014103773498535158
35.0 0.03 0.011448163318634033
35.0 0.04 0.016581455993652343
35.0 0.05 0.020907874107360842
35.0 0.06 0.027490585899353027
35.0 0.07 0.03296228947639466
35.0 0.08 0.04072786560058594
35.0 0.09 0.055963525056838985
35.0 0.093 0.06289995593404771
35.0 0.095 0.03282627114057541
35.0 0.1 0.07454962730407716
35.0 0.13 0.09519660229682923
35.0 0.15 0.11045511603355407
35.0 0.17 0.1681367915630341
35.0 0.2 0.2762525177001954
35.0 0.3 0.1636838972568512
40.0 0.01 0.003556134033203125
40.0 0.02 0.00590245704650879
40.0 0.03 0.006829625558853149
40.0 0.04 0.00854692611694336
40.0 0.05 0.013001472949981692
40.0 0.06 0.01720609531402588
40.0 0.07 0.0220422101020813
40.0 0.08 0.026990048217773437
40.0 0.09 0.03074308876991272
40.0 0.093 0.037690455541133885
40.0 0.095 0.036790747618675235
40.0 0.1 0.04920423030853272
40.0 0.13 0.0641423107624054
40.0 0.2 0.33737358093261727
40.0 0.3 0.37955068588256835
